,Word,Frequency,percent
200,yesterday,26,0.8079552517091362
199,immigration,26,0.8079552517091362
198,illegal,26,0.8079552517091362
197,lies,26,0.8079552517091362
196,things,26,0.8079552517091362
190,numbers,26,0.8079552517091362
194,proud,26,0.8079552517091362
192,pm,26,0.8079552517091362
191,tough,26,0.8079552517091362
189,change,26,0.8079552517091362
193,work,26,0.8079552517091362
210,hard,25,0.7768800497203232
216,goofy,25,0.7768800497203232
215,negative,25,0.7768800497203232
214,wisconsin,25,0.7768800497203232
213,others,25,0.7768800497203232
212,yet,25,0.7768800497203232
211,romney,25,0.7768800497203232
209,disaster,25,0.7768800497203232
208,strong,25,0.7768800497203232
207,meeting,25,0.7768800497203232
206,bring,25,0.7768800497203232
205,rigged,25,0.7768800497203232
204,law,25,0.7768800497203232
203,governor,25,0.7768800497203232
202,saying,25,0.7768800497203232
201,via,25,0.7768800497203232
222,texas,24,0.7458048477315102
227,elizabeth,24,0.7458048477315102
226,bill,24,0.7458048477315102
225,biased,24,0.7458048477315102
223,making,24,0.7458048477315102
224,wont,24,0.7458048477315102
221,judgement,24,0.7458048477315102
219,john,24,0.7458048477315102
218,system,24,0.7458048477315102
217,world,24,0.7458048477315102
220,badly,24,0.7458048477315102
233,cnn,23,0.7147296457426973
235,warren,23,0.7147296457426973
234,history,23,0.7147296457426973
232,fantastic,23,0.7147296457426973
231,leaving,23,0.7147296457426973
230,gave,23,0.7147296457426973
229,americans,23,0.7147296457426973
228,clintons,23,0.7147296457426973
243,mexico,22,0.6836544437538844
248,delegates,22,0.6836544437538844
247,zero,22,0.6836544437538844
246,could,22,0.6836544437538844
245,also,22,0.6836544437538844
244,man,22,0.6836544437538844
238,talk,22,0.6836544437538844
242,event,22,0.6836544437538844
241,north,22,0.6836544437538844
240,washington,22,0.6836544437538844
239,trade,22,0.6836544437538844
237,election,22,0.6836544437538844
236,watched,22,0.6836544437538844
253,7pm,21,0.6525792417650715
256,politicians,21,0.6525792417650715
255,mr,21,0.6525792417650715
254,voting,21,0.6525792417650715
