text,is_retweet,time,text_cleaned,slogans,love trumps hate,stronger together,hillary for america,i'm with her,maga,make america great again,america first,Cliton,Trump
MAKE AMERICA GREAT AGAIN!,False,2016-02-19T21:51:51,"['make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"Thank you South Carolina! Together, WE WILL MAKE AMERICA GREAT AGAIN! #VoteTrumpSC https://t.co/ZkXPm9lPL1",False,2016-02-18T13:30:38,"['thank', 'you', 'south', 'carolina', 'together', 'we', 'will', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
I love being in South Carolina. We are leading big in all of the State polls - Saturday is a BIG day. MAKE AMERICA GREAT AGAIN!,False,2016-02-18T11:25:40,"['i', 'love', 'being', 'in', 'south', 'carolina', 'we', 'are', 'leading', 'big', 'in', 'all', 'of', 'the', 'state', 'polls', 'saturday', 'is', 'a', 'big', 'day', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"I will be in South Carolina all week. Saturday is BIG, BIG, BIG! Get out and vote - MAKE AMERICA GREAT AGAIN",False,2016-02-15T13:55:08,"['i', 'will', 'be', 'in', 'south', 'carolina', 'all', 'week', 'saturday', 'is', 'big', 'big', 'big', 'get', 'out', 'and', 'vote', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"Thank you for your support! TOGETHER we will MAKE AMERICA GREAT AGAIN! 
https://t.co/fFN9pisyQ4 https://t.co/VxyuDwZmC9",False,2016-02-14T17:27:48,"['thank', 'you', 'for', 'your', 'support', 'together', 'we', 'will', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
He (or she) who hesitates is lost: MAKE AMERICA GREAT AGAIN!,False,2016-02-11T16:51:04,"['he', 'or', 'she', 'who', 'hesitates', 'is', 'lost', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
New Hampshire vote today -  MAKE AMERICA GREAT AGAIN!,False,2016-02-09T16:46:17,"['new', 'hampshire', 'vote', 'today', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
MAKE AMERICA GREAT AGAIN!,False,2016-02-09T13:37:11,"['make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
So far the Super Bowl is very boring - not nearly as exciting as politics - MAKE AMERICA GREAT AGAIN!,False,2016-02-08T02:03:31,"['so', 'far', 'the', 'super', 'bowl', 'is', 'very', 'boring', 'not', 'nearly', 'as', 'exciting', 'as', 'politics', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"""@MaryAnn1942: @realDonaldTrump why vote for Trump? Unlike politicians all talk, Trump’s talk materializes! He will make America great again",False,2016-02-05T23:13:07,"['why', 'vote', 'for', 'trump', 'unlike', 'politicians', 'all', 'talk', 'trumps', 'talk', 'materializes', 'he', 'will', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"CEDAR RAPIDS --

TRUMP'S DAUGHT IVANKA:

""I can just say without equivocation, my father will make America great again.""",True,2016-02-01T20:53:10,"['cedar', 'rapids', 'trumps', 'daught', 'ivanka', 'i', 'can', 'just', 'say', 'without', 'equivocation', 'my', 'father', 'will', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
It all begins today - WE WILL FINALLY TAKE OUR COUNTRY BACK AND MAKE AMERICA GREAT AGAIN!,False,2016-02-01T13:25:20,"['it', 'all', 'begins', 'today', 'we', 'will', 'finally', 'take', 'our', 'country', 'back', 'and', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"It is time to take back our country- and MAKE AMERICA GREAT AGAIN!
#CaucusForTrump Video: https://t.co/y9Fa8Ut6IP https://t.co/bJ6a0t9Pv2",False,2016-01-31T16:26:39,"['it', 'is', 'time', 'to', 'take', 'back', 'our', 'country', 'and', 'make', 'america', 'great', 'again', 'video']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
